publish_day_index,date,slot,load_hat_kw,pv_hat_kw,net_hat_kwh
23,2025-01-24T00:00:00,53,4191.97843037,3184.49609424,167.913722688
23,2025-01-24T00:00:00,54,4579.42253241,3426.8092726,192.102209969
23,2025-01-24T00:00:00,55,4635.38690402,3701.50631107,155.646765491
23,2025-01-24T00:00:00,56,4568.02741196,3986.37763211,96.941629974
23,2025-01-24T00:00:00,57,4545.59617229,4251.05112675,49.0908409233
23,2025-01-24T00:00:00,58,4535.62389385,4478.86506841,9.45980423955
23,2025-01-24T00:00:00,59,4555.93560583,4654.8346463,-16.4831734103
23,2025-01-24T00:00:00,60,4551.8206022,4841.11049444,-48.2149820401
23,2025-01-24T00:00:00,61,4450.85334755,5112.18864203,-110.222549079
23,2025-01-24T00:00:00,62,4446.25695282,5295.93491707,-141.612994042
23,2025-01-24T00:00:00,63,4494.95733491,5418.89106028,-153.988954229
23,2025-01-24T00:00:00,64,4368.64633807,5658.51512673,-214.978131443
23,2025-01-24T00:00:00,65,4298.66642483,5766.62097014,-244.659090886
23,2025-01-24T00:00:00,66,4313.96970857,5736.28787461,-237.053027674
23,2025-01-24T00:00:00,67,4212.29866439,5822.20239954,-268.317289191
23,2025-01-24T00:00:00,68,4141.76221196,5927.76505313,-297.667140194
23,2025-01-24T00:00:00,69,4174.25005435,5966.48818054,-298.706354365
23,2025-01-24T00:00:00,70,4221.098309,5979.52763004,-293.071553507
23,2025-01-24T00:00:00,71,4223.26147974,6100.15053934,-312.814843266
23,2025-01-24T00:00:00,72,4187.7033448,6226.04900171,-339.724276152
23,2025-01-24T00:00:00,73,4155.11434534,6125.07856463,-328.327369881
23,2025-01-24T00:00:00,74,4078.61882198,6061.72358322,-330.517460207
23,2025-01-24T00:00:00,75,3993.31653931,6109.84073688,-352.754032928
23,2025-01-24T00:00:00,76,4002.62174251,6077.03757468,-345.735972028
23,2025-01-24T00:00:00,77,4065.72805367,5976.56800251,-318.473324808
23,2025-01-24T00:00:00,78,4115.64568908,5880.78580734,-294.19001971
23,2025-01-24T00:00:00,79,4095.66300246,5828.86532159,-288.867053187
23,2025-01-24T00:00:00,80,3954.51973475,5715.69620317,-293.529411403
23,2025-01-24T00:00:00,81,3833.7321537,5518.823727,-280.848595549
23,2025-01-24T00:00:00,82,3930.98658015,5319.30256486,-231.385997451
23,2025-01-24T00:00:00,83,3921.96100379,5135.91510502,-202.325683538
23,2025-01-24T00:00:00,84,3792.22014641,4942.82210149,-191.766992513
23,2025-01-24T00:00:00,85,3848.99091909,4708.68705632,-143.282689539
23,2025-01-24T00:00:00,86,3924.38978101,4488.79325704,-94.0672460054
23,2025-01-24T00:00:00,87,3913.80165241,4306.00037415,-65.3664536241
23,2025-01-24T00:00:00,88,3888.70046754,4114.92855616,-37.7046814363
23,2025-01-24T00:00:00,89,3876.09691872,3821.77325718,9.05394358984
